Código;Cliente;Data Pedido;Data Entrega;Valor Pedido;Situação
1024;Herivelton Jeane Ferrari;2013-01-30;2013-02-09;45.91;I;

1025;Rone Ido Losekan;2015-05-21;2015-05-31;6717.95;A;

1026;Dalton Ledur Dellagostin;2010-10-09;2010-10-19;6231.2;C;

1027;Jaciane Dalsatto Schmatz;2015-09-27;2015-10-06;3115.6;C;

1028;Amillis Feiten Hora;2010-12-15;2010-12-25;7001.07;Q;

1029;Elezione Susete Greco;2014-01-16;2014-01-26;2273.05;Q;

1030;Olivo Berli Frota;2015-07-05;2015-07-15;7245.74;I;

1031;Adenir Elisangela Leindecker;2016-02-01;2016-02-11;5361.88;Q;

1032;Elizeu Alex Gruner;2010-04-09;2010-04-19;6202.92;I;

1033;Erionaide Gilva Rodrigues;2014-04-04;2014-04-14;6330.91;I;

1034;Laudmir Blesa Colling;2015-03-10;2015-03-20;3511.26;I;

1035;Alvadir Piloto Glinke;2012-06-07;2012-06-17;5823.4;A;

1036;Cristovao Hugo Dores;2013-09-09;2013-09-19;7388.75;Q;

1037;Vailson Soller Sutil;2016-04-21;2016-04-30;9896.38;A;

1038;Picasso Luzia Klemm;2010-12-29;2011-01-08;5313.28;Q;

1039;Ideilson Drabach Peres;2009-08-19;2009-08-29;9886.2;I;

1040;Clayson Romeu Fabris;2015-06-07;2015-06-17;4847.78;C;

1041;Vasnei Roberta Neto;2011-11-06;2011-11-16;6780.27;I;

1042;Weudes Camila Soares;2009-03-21;2009-04-01;9950.44;Q;

1043;Vanderval Dorli Couto;2013-06-25;2013-07-06;9937.32;C;

1044;Dagmario Valirio Constatino;2013-06-13;2013-06-23;835.94;C;

1045;Amarildo Rosimeri Scalcon;2014-11-23;2014-12-06;3690.17;I;

1046;Joceane Fidencio Michelsen;2015-05-24;2015-06-03;8117.68;C;

1047;Jaci Pontes Ferraes;2010-05-30;2010-06-09;3348.5;C;

1048;Elizana Estevo Caboclo;2013-02-03;2013-02-13;7178.71;C;

1049;Carleilton B.Stuker Meneguzzi;2015-03-02;2015-03-12;4388.34;A;

1050;Delice S.S.Silveira Guinarte;2012-02-10;2012-02-20;8660.01;A;

1051;Flori Eidt Nickhorn;2015-10-04;2015-10-14;8806.55;I;

11;Claudioneia Deniz Reolon;2011-01-07;2011-01-17;7668.99;I;

12;Jandecleison Godinho Aragao;2008-09-21;2008-09-30;5098.56;C;

13;Kennison Scheneider Schumacher;2015-07-25;2015-08-03;6509.76;Q;

14;Ido Zampirolio Crizel;2012-08-01;2012-08-11;7579.0;C;

15;Loivo Eliel Spagnoli;2013-10-17;2013-10-27;8866.59;A;

16;Herivana T. Che;2010-12-17;2010-12-27;2715.93;Q;

17;Ejeane Copelli Nejaim;2010-04-22;2010-05-01;5969.52;C;

18;Alaecia Seleni M.Hoffmann;2011-08-16;2011-08-26;7263.48;A;

19;Elenilson Bandeira Goveia;2010-10-19;2010-10-29;5882.42;C;

20;Adelvan Terezinha Arnhold;2015-09-19;2015-09-29;1318.23;I;

21;Roseane Equidio Valenca;2015-09-16;2015-09-26;3861.23;A;

22;Jaelson Majo Leseux;2010-11-10;2010-11-20;1964.77;Q;

23;Iracelia Moretti Exemberger;2008-09-24;2008-10-03;673.25;A;

24;Zizelia Amilcar Bertoldi;2016-01-10;2016-01-20;8255.44;A;

25;Arlenio Elenildo Casagrande;2011-10-23;2011-11-02;6129.81;C;

26;Cleni Guaraci Wommer;2016-05-24;2016-06-03;2778.06;Q;

27;Maicon Sara Gobbi;2008-06-26;2008-07-07;2867.47;A;

28;Nilmara Cleciana Nazare;2008-09-03;2008-09-13;3630.85;Q;

29;Silmar Jozeli Pelegrim;2014-11-13;2014-11-23;3417.75;I;

30;Martiliene Osorio Griebeler;2016-04-04;2016-04-14;6317.1;C;

31;Adonio Marinho Kellermann;2009-07-14;2009-07-24;2499.06;A;

32;Wanderson Cirilo Bonfante;2009-08-27;2009-09-07;276.39;C;

33;Mareu Celanir S.Hilario;2011-03-03;2011-03-13;2562.67;Q;

34;Sara Henckel Pitsch;2010-03-18;2010-03-28;9558.72;Q;

35;Macio Abel Chiraski;2014-08-30;2014-09-10;3180.01;C;

36;Jucieide Dirnei Bartholomay;2010-02-19;2010-02-28;6038.76;A;

37;Perivaldo Oreste Pertuzzatti;2008-10-14;2008-10-24;7867.31;A;

38;Herminia J.Albuquerque Parodi;2011-04-09;2011-04-19;7214.63;A;

39;Jarbson Chiraski Benetti;2010-12-19;2010-12-29;1107.29;I;

40;Irving Roberta Klimck;2011-01-26;2011-02-06;4892.21;C;

41;Gislaine Ajala Domingues;2014-05-01;2014-05-11;1923.15;C;

42;Carlise Guerino Cerveira;2011-01-20;2011-01-31;4671.06;Q;

43;Delia Volnei Althaus;2015-07-27;2015-08-05;7361.61;I;

44;Messias Erick Felipe;2012-01-14;2012-01-24;3756.5;C;

45;Thayson Saul Voigt;2014-01-09;2014-01-19;2941.88;A;

46;Kenio Navarro Colvero;2013-08-20;2013-08-30;5070.51;C;

47;Valdoberto Costa Nagildo;2013-01-12;2013-01-22;9036.84;Q;

48;Kae Joelma Limberger;2015-08-05;2015-08-15;9470.78;I;

49;Leonildo Dudar Dalmas;2008-07-04;2008-07-14;3087.88;I;

50;Selmo Carlize Sperb;2015-08-21;2015-09-01;3272.17;C;

51;Valmer Lazarin Bras;2011-08-09;2011-08-19;1215.61;I;

52;Cassandra Luis Vivian;2014-06-17;2014-06-27;9164.51;I;

53;Zeni Abdel Kovaski;2015-10-01;2015-10-11;1851.96;Q;

54;Julimar Rego Benedetto;2014-04-04;2014-04-14;5511.03;C;

55;Geovania Vandoir Schwindt;2010-11-18;2010-11-28;5036.71;I;

56;Valselino Paulina Danieli;2015-07-13;2015-07-23;6081.25;I;

57;Durgeval Geraldo Lopes;2013-11-10;2013-11-20;2716.38;I;

58;Cleudenice Jessica Maurer;2014-04-10;2014-04-20;3693.41;Q;

59;Rafael Robelso Arrieche;2013-11-05;2013-11-15;7311.01;A;

60;Ane Gardenia Kersckhoven;2015-10-15;2015-10-25;1536.44;A;

61;Eldemec Policarpo Althaus;2010-06-28;2010-07-09;9655.61;Q;

62;Darlei Gremes Dalmina;2011-04-17;2011-04-27;9667.78;A;

63;Jaiane Mengue Agala;2013-08-21;2013-09-01;4654.73;Q;

64;Erlande Laci Stangherlin;2014-02-05;2014-02-15;1223.67;C;

65;Cleidimar Alexandre Jacobi;2008-09-19;2008-09-29;8366.27;C;

66;Quene Janoni Schafer;2009-03-18;2009-03-28;850.0;C;

67;Edicarlos Hedio Prelelue;2009-11-05;2009-11-15;1138.32;Q;

68;Joelia Pospich Alberto;2013-04-14;2013-04-24;4378.08;A;

69;Versi Geane Nascimento;2013-07-22;2013-07-31;4794.63;Q;

70;Claudiene M. da Mittelstadt;2010-09-01;2010-09-11;9963.88;C;

71;Theodorino Adelio Caldas;2011-05-02;2011-05-12;7598.14;Q;

72;Aureliano D.Maciel Jacoboski;2009-06-28;2009-07-09;7882.66;C;

73;Alcindo Boeira Bratz;2009-09-17;2009-09-27;1935.54;C;

74;Moroni Goretti Voginski;2009-09-13;2009-09-23;3245.03;A;

75;Stewam Persch Klazer;2009-07-24;2009-08-02;5064.74;I;

76;Deivisson Brouwenstyn Nova;2013-08-18;2013-08-28;6793.11;Q;

77;Cleudir Amarildo Senhnem;2013-06-20;2013-06-30;7025.28;C;

78;Loivani O. dos Gaspar;2012-01-30;2012-02-09;9700.09;Q;

79;Adimar Gandra Cantilho;2009-04-05;2009-04-15;7727.22;C;

80;Edmilton Anderlei Schveitzer;2011-05-05;2011-05-15;9207.69;Q;

81;Tiziane Andrea Chagas;2014-12-07;2014-12-17;6040.23;C;

82;Josiel Barckfeld Zimmermann;2016-02-22;2016-03-02;4073.08;C;

